id;name;sex;resort;age;nationality;acadamic
HW;Hannah Wilhelm;f;panorama;46;deutsch;promoviert
NS;Nadeschda Scharfenberg;f;panorama;46;deutsch;studiert
EB;Elisa Britzelmeier;f;panorama;;;studiert
AB;Anna Fischhaber;f;panorama;;deutsch;studiert
MG;Moritz Geier ;m;panorama;;deutsch;studiert
ML;Marcel Laskus;m;panorama;;deutsch;studiert
KL;Kerstin Lottritz;m;panorama;46;deutsch;studiert
VM;Verena Mayer;f;panorama;52;österreichisch;studiert
VS;Violetta Simon;f;panorama;57;deutsch;studiert
VW;Veronika Wulf;f;panorama;32;deutsch;studiert
MZ;Martin Zips;m;panorama;;;
WK;Wolfgang Krach;m;Chefredakteur;60;deutsch;studiert
JW;Judith Wittwer;f;Chefredakteurin;46;schweizerisch;studiert
AFS;Alexandra Föderl-Schmid;m;stv. Chef;53;österreichisch;studiert
US;Ulrich Schäfer;m;stv. Chef;56;deutsch;studiert
JS;Jens Schneider;m;Nachrichten;61;deutsch;studiert
MA;Martin Anetzberger;m;Nachrichten;41;deutsch;studiert
GH;Gunnar Herrmann;m;Nachrichten;49;deutsch;studiert
JA;Jana Anzlinger;f;Nachrichten;46;deutsch;studiert
MB;Matthias Becker;m;Nachrichten;44;deutsch;studiert
XB;Xaver Blitz;m;Nachrichten;37;deutsch;studiert
SC;Sarah Crone;f;Nachrichten;39;deutsch;studiert
DH;Denis Huber;m;Nachrichten;46;;studiert
SK;Sina Kampe;f;Nachrichten;;deutsch;studiert
AR;Annette Reuther;f;Nachrichten;47;deutsch;studiert
HH;Hans von der Hagen;m;Nachrichten;;;studiert
DF;Dominik Fürst;m;Nachrichten;37;deutsch;
JA;Juri Auel ;m;Nachrichten;;deutsch;studiert
JB;Julia Bergmann;f;Nachrichten;36;;studiert
KG;Katja Guttmann;f;Nachrichten;56;deutsch;studiert
JH;Julia Hippert;f;Nachrichten;40;deutsch;studiert
NL;Nadja Lissok;f;Nachrichten;33;deutsch;studiert
PS;Philipp Saul ;m;Nachrichten;;deutsch;studiert
CS;Carina Seeburg;f;Nachrichten;;deutsch;studiert
KS;Kassian Strph;m;Nachrichten;47;deutsch;studiert
DT;Dimitri Taube;m;Nachrichten;40;deutsch;studiert
NT;Nadja Tausche;m;Nachrichten;50;deutsch;studiert
MT;Martin Tofern ;m;Nachrichten;;deutsch;studiert
RK;Reymer Klüver;m;Nachrichten;64;deutsch;studiert
CH;Christoph Heinlein;m;Nachrichten;;deutsch;studiert
AL;Anna Landefeld;f;Nachrichten;37;deutsch;studiert
MM;Marco Mach;m;Nachrichten;48;deutsch;studiert
FD;Franziska Dürmeier;f;Nachrichten;;deutsch;studiert
NH;Natascha Holstein;f;Nachrichten;27;deutsch;studiert
TP;Theresa Parstorfer;f;Nachrichten;33;deutsch;studiert
VR;Valentina Reese;f;Nachrichten;36;;studiert
